Jakarta,Surabaya,Semarang,Cilacap
0.2963292,2.366199,1.060569,1.537971
0.3642488,2.259427,1.042787,1.235423
0.4561331,2.038002,0.9670413,0.9027441
0.5698921,1.725842,0.8428432,0.6128949
0.6882067,1.367189,0.6873496,0.4282838
0.7885942,1.017512,0.5211648,0.3856282
0.8587027,0.7316579,0.3659972,0.4873698
0.9026678,0.5521523,0.2428896,0.7017539
0.9328825,0.5004697,0.1689261,0.9714588
0.9553185,0.573312,0.1524375,1.228495
0.9624639,0.7446739,0.1894174,1.411509
0.9404514,0.9730291,0.2642231,1.481071
0.8833277,1.211723,0.3550713,1.429072
0.8006682,1.419922,0.4415915,1.279913
0.7112241,1.571409,0.5105793,1.083293
0.6286579,1.659146,0.5578597,0.9005587
0.5529006,1.694646,0.5869581,0.7882057
0.4751536,1.702544,0.6066096,0.7828271
0.3914694,1.711982,0.6283116,0.8913852
0.3116736,1.747177,0.6635826,1.089285
0.2548957,1.819699,0.7203081,1.326703
0.2357118,1.924487,0.7988204,1.54149
0.2537299,2.040616,0.8897323,1.675296
0.2960272,2.136586,0.9753148,1.68876
0.3496192,2.178721,1.034319,1.571846
0.4118246,2.140479,1.048169,1.346727
0.4887838,2.010249,1.00602,1.062466
0.5840239,1.795624,0.9073706,0.78291
0.6886182,1.523002,0.762403,0.5708976
0.7829641,1.232607,0.5906024,0.472794
0.8490838,0.9701075,0.417712,0.5072747
0.8823061,0.7768847,0.2707936,0.6611442
0.8917564,0.6812871,0.1720245,0.8931704
0.8896039,0.6929488,0.1332085,1.144876
0.8794002,0.8014596,0.1533427,1.355458
0.8543029,0.9795844,0.2202205,1.477011
0.8062654,1.190133,0.3149284,1.486188
0.7368155,1.394709,0.4169475,1.389393
0.6587604,1.562182,0.5082466,1.220277
0.5870855,1.674844,0.5762826,1.030316
0.5277822,1.730889,0.6164345,0.8749617
0.4753,1.742781,0.6335151,0.7990013
0.4210433,1.732136,0.6408361,0.824887
0.3647941,1.722573,0.6556582,0.9470064
0.3181999,1.732481,0.6920733,1.133311
0.2969957,1.769561,0.7546504,1.333805
0.3091629,1.828542,0.8362571,1.493649
0.3497941,1.892587,0.9208996,1.567492
0.4068311,1.937964,0.9892691,1.531313
0.4715691,1.94073,1.023652,1.388785
0.5436765,1.88368,1.010676,1.170546
0.6262263,1.761743,0.9430302,0.9266129
0.7161515,1.58447,0.8218888,0.713906
0.8000521,1.374923,0.6597466,0.5820925
0.8601759,1.165235,0.480841,0.5613204
0.8856334,0.9898996,0.3164437,0.654944
0.8788763,0.8783849,0.19563,0.8389998
0.8518235,0.8488302,0.1359923,1.068497
0.815524,0.904293,0.1394609,1.288847
0.7728595,1.032372,0.1949618,1.449489
0.7203988,1.208226,0.2849202,1.516245
0.656582,1.400214,0.3907415,1.479329
0.5875865,1.576761,0.4949089,1.355057
0.5248727,1.712844,0.5815123,1.18094
0.4767704,1.794616,0.6385804,1.00554
0.4423651,1.821192,0.6628813,0.8757284
0.413795,1.803312,0.6636296,0.8246658
0.3850309,1.759393,0.6604079,0.8635119
0.3590503,1.710023,0.6743744,0.978963
0.346814,1.672361,0.7174745,1.137114
0.3590601,1.655774,0.7866276,1.292608
0.398369,1.659806,0.866346,1.400623
0.4582726,1.674859,0.9368513,1.428636
0.5293181,1.685347,0.981207,1.364928
0.605637,1.674486,0.9873744,1.221719
0.685686,1.629429,0.9468447,1.032154
0.7670116,1.545473,0.8548599,0.8419976
0.8409812,1.428255,0.7148069,0.6981323
0.8935654,1.293349,0.5435293,0.6368358
0.9124357,1.163354,0.3711847,0.6747626
0.894502,1.063123,0.2324843,0.8048654
0.8474215,1.014223,0.1533443,0.9982266
0.7840037,1.02997,0.1414932,1.21127
0.7145844,1.112138,0.1869787,1.396469
0.6437166,1.250149,0.2708195,1.513878
0.5729516,1.422932,0.374188,1.540555
0.5056968,1.603048,0.4817019,1.475636
0.4486394,1.762139,0.5792408,1.33985
0.4081406,1.876533,0.65238,1.16973
0.385317,1.931731,0.6903872,1.008072
0.3750296,1.924833,0.6939083,0.893115
0.3703032,1.864426,0.6788243,0.8491486
0.3685148,1.768005,0.6703714,0.8809078
0.3739508,1.657599,0.6896289,0.9730452
